State,Liczba zgloszen,wartosc skradzionych aut,Wartosc odzyskanych aut,Procent odzyskanych aut
,,,,
Laczne,11060.0,674405041.0,28309846.0,4.2
Alabama,569.0,3927460.0,1001875.0,25.5
Alaska,6.0,45116.0,75.0,0.2
Arizona,101.0,1920330.0,153290.0,8.0
Arkansas,80.0,488625.0,144372.0,29.5
California,306.0,13995392.0,1250658.0,8.9
Colorado,74.0,2172302.0,1050665.0,48.4
Connecticut,73.0,431716.0,178819.0,41.4
Delaware,24.0,109542.0,6464.0,5.9
Florida,435.0,14895778.0,2268466.0,15.2
Georgia,289.0,5597798.0,970859.0,17.3
Idaho,45.0,163430.0,6014.0,3.7
Illinois,353.0,9186860.0,541415.0,5.9
Indiana,172.0,2782308.0,685246.0,24.6
Iowa,42.0,127832.0,34950.0,27.3
Kentucky,39.0,5387357.0,1762391.0,32.7
Maine,6.0,9464.0,915.0,9.7
Maryland,1093.0,25351207.0,2055994.0,8.1
Massachusetts,437.0,2642305.0,80519.0,3.0
Michigan,275.0,1827434.0,425495.0,23.3
Minnesota,9.0,480840.0,261103.0,54.3
Mississippi,70.0,632999.0,10061.0,1.6
Missouri,619.0,5042677.0,1905950.0,37.8
Montana,3.0,62254.0,0.0,0.0
Nebraska,32.0,2516604.0,437300.0,17.4
Nevada,584.0,7235686.0,2629178.0,36.3
New Hampshire,12.0,50387.0,20850.0,41.4
New Jersey,118.0,2351521.0,567615.0,24.1
New Mexico,167.0,587927.0,169140.0,28.8
New York,4.0,374654.0,0.0,0.0
North Carolina,793.0,3597853.0,922330.0,25.6
North Dakota,7.0,2553825.0,93218.0,3.7
Ohio,1594.0,8219917.0,1792916.0,21.8
Oklahoma,3.0,2435.0,0.0,0.0
Oregon,122.0,987464.0,349386.0,35.4
Pennsylvania,420.0,1992948.0,179901.0,9.0
Rhode Island,2.0,16500.0,0.0,0.0
South Carolina,282.0,2663692.0,347802.0,13.1
South Dakota,1.0,15000.0,10000.0,66.7
Tennessee,459.0,3450034.0,532369.0,15.4
Texas,881.0,537935366.0,4635444.0,0.9
Utah,20.0,109043.0,29446.0,27.0
Vermont,13.0,25565.0,8230.0,32.2
Virginia,53.0,457065.0,230066.0,50.3
Washington,237.0,1421220.0,384647.0,27.1
West Virginia,99.0,312138.0,62600.0,20.1
Wisconsin,32.0,242472.0,111812.0,46.1
Wyoming,5.0,4699.0,0.0,0.0
